State,Latitude,Longitude,County/Parish,Health Inspection Rating
AK,55.3119,-131.587,Ketchikan Gateway,3.0
AK,56.4575,-132.369,Wrangell,4.0
AK,56.8125,-132.956,Petersburg Borough,5.0
AK,57.0594,-135.344,Sitka Borough,5.0
AK,57.801,-152.374,Kodiak Island Borough,2.0
AK,58.3311,-134.466,Juneau,1.0
AK,59.6516,-151.55,Kenai Peninsula,4.0
AK,60.1328,-149.442,Kenai Peninsula,3.0
AK,60.4932,-151.081,Kenai Peninsula,3.0
AK,60.5416,-145.75,Chugach,3.0
AK,60.7858,-161.786,Bethel,3.0
AK,61.1363,-146.35,Chugach,4.0
AK,61.2045,-149.748,Anchorage,1.5
AK,61.2257,-149.714,Anchorage,1.0
AK,61.5879,-149.36,Matanuska-Susitna,2.0
AK,61.6167,-149.116,Matanuska-Susitna,1.0
AK,64.7874,-165.197,Nome,2.0
AK,64.8304,-147.738,Fairbanks North Star,4.0
AK,66.8953,-162.589,Northwest Arctic,4.0
AL,30.4269,-87.685,Baldwin,1.0
AL,30.4906,-88.331,Mobile,1.0
AL,30.5216,-87.905,Baldwin,2.0
AL,30.5547,-87.9,Baldwin,3.0
AL,30.5694,-87.631,Baldwin,1.0
AL,30.613,-87.907,Baldwin,4.0
AL,30.6249,-88.174,Mobile,1.0
AL,30.6261,-88.137,Mobile,2.0
AL,30.6476,-88.237,Mobile,5.0
AL,30.6526,-88.101,Mobile,4.0
AL,30.6611,-88.214,Mobile,2.0
AL,30.6686,-87.911,Baldwin,2.0
AL,30.6722,-88.052,Mobile,3.0
AL,30.6842,-88.078,Mobile,5.0
AL,30.6855,-88.136,Mobile,4.0
AL,30.6857,-88.133,Mobile,4.0
AL,30.6908,-88.088,Mobile,3.0
AL,30.692,-88.082,Mobile,1.0
AL,30.6947,-88.051,Mobile,4.0
AL,30.698,-88.102,Mobile,5.0
AL,30.7168,-88.074,Mobile,3.0
AL,30.7645,-88.128,Mobile,1.0
AL,30.8746,-87.776,Baldwin,3.0
AL,31.001,-86.311,Covington,4.0
AL,31.0161,-87.476,Escambia,5.0
AL,31.0449,-85.841,Geneva,2.0
AL,31.0913,-88.242,Mobile,5.0
AL,31.1007,-85.678,Geneva,5.0
AL,31.1079,-87.071,Escambia,4.0
AL,31.2112,-85.39,Houston,1.0
AL,31.2199,-85.435,Houston,1.0
AL,31.241,-85.455,Houston,4.0
AL,31.2815,-86.498,Covington,2.0
AL,31.2934,-86.255,Covington,3.0
AL,31.3028,-85.837,Coffee,2.0
AL,31.4221,-86.946,Conecuh,4.0
AL,31.4291,-86.076,Coffee,2.0
AL,31.4322,-85.645,Dale,3.0
